animal_id,group_number,group_name,sex,dose_mgkg_day,bw_day1_g,bw_day7_g,bw_day14_g,bw_day21_g,bw_day28_g,liver_wt_g,kidney_wt_g,heart_wt_g,brain_wt_g,spleen_wt_g,thymus_wt_g,clin_obs_d1_7,clin_obs_d8_14,clin_obs_d15_21,clin_obs_d22_28,histo_liver_finding,histo_liver_grade,histo_kidney_finding,histo_kidney_grade
M101,1,Vehicle Control,Male,0,228.3,258.6,286.4,310.2,335.8,11.24,2.14,1.10,1.88,0.72,0.37,No abnormal findings,No abnormal findings,No abnormal findings,No abnormal findings,No remarkable findings,0,No remarkable findings,0
M102,1,Vehicle Control,Male,0,233.7,263.2,291.8,315.6,341.4,11.58,2.20,1.14,1.91,0.76,0.39,No abnormal findings,No abnormal findings,No abnormal findings,No abnormal findings,No remarkable findings,0,No remarkable findings,0
M103,1,Vehicle Control,Male,0,229.1,259.8,287.3,311.7,337.2,11.36,2.17,1.11,1.87,0.73,0.36,No abnormal findings,No abnormal findings,No abnormal findings,No abnormal findings,No remarkable findings,0,No remarkable findings,0
M104,1,Vehicle Control,Male,0,235.4,264.7,293.1,317.8,343.6,11.74,2.23,1.15,1.92,0.77,0.40,No abnormal findings,No abnormal findings,No abnormal findings,No abnormal findings,No remarkable findings,0,No remarkable findings,0
M105,1,Vehicle Control,Male,0,230.8,260.4,288.9,313.4,338.9,11.46,2.18,1.12,1.89,0.74,0.38,No abnormal findings,No abnormal findings,No abnormal findings,No abnormal findings,No remarkable findings,0,No remarkable findings,0
M201,2,Low Dose,Male,25,227.6,257.9,285.8,309.4,334.7,11.31,2.16,1.11,1.89,0.73,0.37,No abnormal findings,No abnormal findings,No abnormal findings,No abnormal findings,No remarkable findings,0,No remarkable findings,0
M202,2,Low Dose,Male,25,232.4,262.1,290.6,314.3,340.2,11.52,2.19,1.13,1.90,0.75,0.38,No abnormal findings,No abnormal findings,No abnormal findings,No abnormal findings,No remarkable findings,0,No remarkable findings,0
M203,2,Low Dose,Male,25,228.9,258.7,286.9,310.8,336.4,11.41,2.17,1.12,1.88,0.74,0.37,No abnormal findings,No abnormal findings,No abnormal findings,No abnormal findings,No remarkable findings,0,No remarkable findings,0
M204,2,Low Dose,Male,25,234.2,263.8,292.1,316.4,342.1,11.68,2.22,1.14,1.91,0.76,0.39,No abnormal findings,No abnormal findings,No abnormal findings,No abnormal findings,No remarkable findings,0,No remarkable findings,0
M205,2,Low Dose,Male,25,229.7,259.6,288.2,312.7,337.8,11.44,2.18,1.12,1.89,0.74,0.37,No abnormal findings,No abnormal findings,No abnormal findings,No abnormal findings,No remarkable findings,0,No remarkable findings,0
M301,3,Mid Dose,Male,100,231.2,258.4,283.6,304.2,318.7,12.84,2.31,1.13,1.87,0.77,0.34,No abnormal findings,Soft stool,No abnormal findings,No abnormal findings,Hepatocellular hypertrophy,1,No remarkable findings,0
M302,3,Mid Dose,Male,100,228.6,255.7,280.3,301.8,315.4,12.64,2.28,1.11,1.85,0.75,0.33,No abnormal findings,No abnormal findings,No abnormal findings,No abnormal findings,No remarkable findings,0,No remarkable findings,0
M303,3,Mid Dose,Male,100,233.4,261.2,286.4,307.6,321.8,12.97,2.34,1.14,1.88,0.78,0.35,No abnormal findings,Soft stool,No abnormal findings,No abnormal findings,Hepatocellular hypertrophy,1,No remarkable findings,0
M304,3,Mid Dose,Male,100,229.8,257.1,282.4,303.1,317.2,12.74,2.30,1.12,1.86,0.76,0.34,No abnormal findings,No abnormal findings,No abnormal findings,No abnormal findings,Hepatocellular hypertrophy,1,No remarkable findings,0
M305,3,Mid Dose,Male,100,232.6,260.3,285.1,306.4,319.6,12.91,2.33,1.13,1.87,0.77,0.34,No abnormal findings,No abnormal findings,No abnormal findings,No abnormal findings,No remarkable findings,0,No remarkable findings,0
M401,4,High Dose,Male,400,229.4,246.8,261.4,274.6,286.3,15.24,2.63,1.17,1.86,0.81,0.28,Reduced activity; hunched posture,Reduced activity; hunched posture; soft stool,Reduced activity; soft stool,Reduced activity; soft stool,Hepatocellular hypertrophy; centrilobular necrosis,2,Renal tubular basophilia,1
M402,4,High Dose,Male,400,232.1,249.6,264.8,278.2,289.7,15.48,2.67,1.18,1.87,0.83,0.29,Reduced activity; hunched posture; partially closed eyes,Reduced activity; hunched posture; soft stool; partially closed eyes,Reduced activity; soft stool,Reduced activity; soft stool,Hepatocellular hypertrophy; centrilobular necrosis,3,Renal tubular basophilia,1
M403,4,High Dose,Male,400,228.7,245.3,259.8,272.4,284.1,15.18,2.61,1.16,1.85,0.80,0.28,Reduced activity; hunched posture,Reduced activity; soft stool,Reduced activity; soft stool,Reduced activity; soft stool,Hepatocellular hypertrophy,2,Renal tubular basophilia,1
M404,4,High Dose,Male,400,231.6,248.4,263.7,277.1,288.6,15.42,2.66,1.18,1.87,0.82,0.29,Reduced activity,Reduced activity; soft stool,Reduced activity; soft stool,Reduced activity; soft stool,Hepatocellular hypertrophy,2,No remarkable findings,0
M405,4,High Dose,Male,400,230.3,247.2,262.1,275.8,287.4,15.31,2.64,1.17,1.86,0.81,0.28,Reduced activity,Reduced activity; soft stool,Reduced activity; soft stool,Reduced activity; soft stool,Hepatocellular hypertrophy,2,No remarkable findings,0
F101,1,Vehicle Control,Female,0,181.4,201.6,217.8,230.4,242.7,8.52,1.51,0.85,1.84,0.59,0.41,No abnormal findings,No abnormal findings,No abnormal findings,No abnormal findings,No remarkable findings,0,No remarkable findings,0
F102,1,Vehicle Control,Female,0,185.8,206.2,222.4,235.6,248.3,8.74,1.55,0.88,1.87,0.62,0.43,No abnormal findings,No abnormal findings,No abnormal findings,No abnormal findings,No remarkable findings,0,No remarkable findings,0
F103,1,Vehicle Control,Female,0,182.6,203.1,219.2,231.8,244.1,8.61,1.52,0.86,1.85,0.60,0.41,No abnormal findings,No abnormal findings,No abnormal findings,No abnormal findings,No remarkable findings,0,No remarkable findings,0
F104,1,Vehicle Control,Female,0,184.3,205.4,221.6,234.2,246.8,8.71,1.54,0.87,1.86,0.61,0.42,No abnormal findings,No abnormal findings,No abnormal findings,No abnormal findings,No remarkable findings,0,No remarkable findings,0
F105,1,Vehicle Control,Female,0,183.7,204.8,220.8,233.4,245.6,8.65,1.53,0.87,1.86,0.61,0.42,No abnormal findings,No abnormal findings,No abnormal findings,No abnormal findings,No remarkable findings,0,No remarkable findings,0
F201,2,Low Dose,Female,25,182.8,202.9,219.4,231.6,244.3,8.67,1.52,0.86,1.85,0.60,0.41,No abnormal findings,No abnormal findings,No abnormal findings,No abnormal findings,No remarkable findings,0,No remarkable findings,0
F202,2,Low Dose,Female,25,186.4,207.1,223.2,236.4,249.1,8.81,1.56,0.88,1.87,0.63,0.42,No abnormal findings,No abnormal findings,No abnormal findings,No abnormal findings,No remarkable findings,0,No remarkable findings,0
F203,2,Low Dose,Female,25,183.2,203.8,220.1,232.7,245.4,8.69,1.53,0.86,1.85,0.61,0.41,No abnormal findings,No abnormal findings,No abnormal findings,No abnormal findings,No remarkable findings,0,No remarkable findings,0
F204,2,Low Dose,Female,25,184.7,205.8,221.9,234.8,247.2,8.76,1.55,0.87,1.86,0.62,0.42,No abnormal findings,No abnormal findings,No abnormal findings,No abnormal findings,No remarkable findings,0,No remarkable findings,0
F205,2,Low Dose,Female,25,184.1,205.2,221.3,233.9,246.4,8.73,1.54,0.87,1.86,0.62,0.41,No abnormal findings,No abnormal findings,No abnormal findings,No abnormal findings,No remarkable findings,0,No remarkable findings,0
F301,3,Mid Dose,Female,100,183.6,202.4,216.8,227.3,234.8,9.68,1.64,0.87,1.84,0.63,0.37,No abnormal findings,No abnormal findings,No abnormal findings,No abnormal findings,Hepatocellular hypertrophy,1,No remarkable findings,0
F302,3,Mid Dose,Female,100,182.1,200.8,214.9,225.4,232.7,9.54,1.62,0.86,1.83,0.62,0.36,No abnormal findings,No abnormal findings,No abnormal findings,No abnormal findings,No remarkable findings,0,No remarkable findings,0
F303,3,Mid Dose,Female,100,184.8,203.7,218.2,228.9,236.4,9.76,1.65,0.88,1.85,0.64,0.38,No abnormal findings,No abnormal findings,No abnormal findings,No abnormal findings,Hepatocellular hypertrophy,1,No remarkable findings,0
F304,3,Mid Dose,Female,100,183.1,201.6,216.1,226.8,234.1,9.62,1.63,0.87,1.84,0.63,0.37,No abnormal findings,No abnormal findings,No abnormal findings,No abnormal findings,No remarkable findings,0,No remarkable findings,0
F305,3,Mid Dose,Female,100,184.2,202.9,217.4,228.1,235.6,9.71,1.64,0.87,1.84,0.63,0.37,No abnormal findings,No abnormal findings,No abnormal findings,No abnormal findings,No remarkable findings,0,No remarkable findings,0
F401,4,High Dose,Female,400,183.8,196.4,206.7,213.2,218.4,11.74,1.86,0.90,1.83,0.67,0.30,Reduced activity; hunched posture; partially closed eyes,Reduced activity; soft stool; partially closed eyes,Reduced activity; soft stool,Reduced activity; soft stool,Hepatocellular hypertrophy; centrilobular necrosis,2,Renal tubular basophilia,1
F402,4,High Dose,Female,400,185.2,197.8,208.4,215.1,220.7,11.91,1.89,0.91,1.84,0.68,0.31,Reduced activity; hunched posture,Reduced activity; soft stool,Reduced activity; soft stool,Reduced activity; soft stool,Hepatocellular hypertrophy,2,Renal tubular basophilia,1
F403,4,High Dose,Female,400,182.6,195.1,205.4,212.3,217.6,11.68,1.85,0.90,1.83,0.66,0.30,Reduced activity,Reduced activity; soft stool,Reduced activity; soft stool,Reduced activity; soft stool,Hepatocellular hypertrophy,2,Renal tubular basophilia,1
F404,4,High Dose,Female,400,184.7,197.2,207.8,214.6,219.8,11.84,1.88,0.91,1.84,0.67,0.31,Reduced activity; hunched posture,Reduced activity; soft stool,Reduced activity; soft stool,Reduced activity; soft stool,Hepatocellular hypertrophy,2,No remarkable findings,0
F405,4,High Dose,Female,400,183.4,196.8,207.1,213.8,218.9,11.79,1.87,0.90,1.83,0.67,0.30,Reduced activity,Reduced activity; soft stool,Reduced activity; soft stool,Reduced activity; soft stool,Hepatocellular hypertrophy,2,No remarkable findings,0
