study_id,animal_id,group_number,group_name,sex,dose_mgkg_day,dose_volume_mlkg,species,strain,age_at_arrival_weeks,bw_at_receipt_g,arrival_date,acclimation_start,day1_date,necropsy_date,disposition,necropsy_type,comments
TOX-2025-0118-P,M101,1,Vehicle Control,Male,0,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,215.3,2025-01-27,2025-01-27,2025-02-03,2025-03-04,Scheduled sacrifice,Terminal,
TOX-2025-0118-P,M102,1,Vehicle Control,Male,0,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,220.7,2025-01-27,2025-01-27,2025-02-03,2025-03-04,Scheduled sacrifice,Terminal,
TOX-2025-0118-P,M103,1,Vehicle Control,Male,0,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,216.1,2025-01-27,2025-01-27,2025-02-03,2025-03-04,Scheduled sacrifice,Terminal,
TOX-2025-0118-P,M104,1,Vehicle Control,Male,0,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,222.4,2025-01-27,2025-01-27,2025-02-03,2025-03-04,Scheduled sacrifice,Terminal,
TOX-2025-0118-P,M105,1,Vehicle Control,Male,0,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,217.8,2025-01-27,2025-01-27,2025-02-03,2025-03-04,Scheduled sacrifice,Terminal,
TOX-2025-0118-P,M201,2,Low Dose,Male,25,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,214.6,2025-01-27,2025-01-27,2025-02-03,2025-03-04,Scheduled sacrifice,Terminal,
TOX-2025-0118-P,M202,2,Low Dose,Male,25,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,219.4,2025-01-27,2025-01-27,2025-02-03,2025-03-04,Scheduled sacrifice,Terminal,
TOX-2025-0118-P,M203,2,Low Dose,Male,25,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,215.9,2025-01-27,2025-01-27,2025-02-03,2025-03-04,Scheduled sacrifice,Terminal,
TOX-2025-0118-P,M204,2,Low Dose,Male,25,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,221.2,2025-01-27,2025-01-27,2025-02-03,2025-03-04,Scheduled sacrifice,Terminal,
TOX-2025-0118-P,M205,2,Low Dose,Male,25,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,216.7,2025-01-27,2025-01-27,2025-02-03,2025-03-04,Scheduled sacrifice,Terminal,
TOX-2025-0118-P,M301,3,Mid Dose,Male,100,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,218.2,2025-01-27,2025-01-27,2025-02-03,2025-03-04,Scheduled sacrifice,Terminal,
TOX-2025-0118-P,M302,3,Mid Dose,Male,100,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,215.6,2025-01-27,2025-01-27,2025-02-03,2025-03-04,Scheduled sacrifice,Terminal,
TOX-2025-0118-P,M303,3,Mid Dose,Male,100,10,Rat,Sprague-Dawley (Crl:CD(SD)),7,220.4,2025-01-27,2025-01-27,2025-02-03,2025-03-04,Scheduled sacrifice,Terminal,
