study_id,animal_id,group_number,group_name,sex,dose_mgkg_day,study_day,study_date,body_weight_g
TOX-2025-0118-P,M101,1,Vehicle Control,Male,0,1,2025-02-03,228.3
TOX-2025-0118-P,M101,1,Vehicle Control,Male,0,7,2025-02-10,258.6
TOX-2025-0118-P,M101,1,Vehicle Control,Male,0,14,2025-02-17,286.4
TOX-2025-0118-P,M101,1,Vehicle Control,Male,0,21,2025-02-24,310.2
TOX-2025-0118-P,M101,1,Vehicle Control,Male,0,28,2025-03-03,335.8
TOX-2025-0118-P,M102,1,Vehicle Control,Male,0,1,2025-02-03,233.7
TOX-2025-0118-P,M102,1,Vehicle Control,Male,0,7,2025-02-10,263.2
TOX-2025-0118-P,M102,1,Vehicle Control,Male,0,14,2025-02-17,291.8
TOX-2025-0118-P,M102,1,Vehicle Control,Male,0,21,2025-02-24,315.6
TOX-2025-0118-P,M102,1,Vehicle Control,Male,0,28,2025-03-03,341.4
TOX-2025-0118-P,M103,1,Vehicle Control,Male,0,1,2025-02-03,229.1
TOX-2025-0118-P,M103,1,Vehicle Control,Male,0,7,2025-02-10,259.8
TOX-2025-0118-P,M103,1,Vehicle Control,Male,0,14,2025-02-17,287.3
TOX-2025-0118-P,M103,1,Vehicle Control,Male,0,21,2025-02-24,311.7
TOX-2025-0118-P,M103,1,Vehicle Control,Male,0,28,2025-03-03,337.2
TOX-2025-0118-P,M104,1,Vehicle Control,Male,0,1,2025-02-03,235.4
TOX-2025-0118-P,M104,1,Vehicle Control,Male,0,7,2025-02-10,264.7
TOX-2025-0118-P,M104,1,Vehicle Control,Male,0,14,2025-02-17,293.1
TOX-2025-0118-P,M104,1,Vehicle Control,Male,0,21,2025-02-24,317.8
TOX-2025-0118-P,M104,1,Vehicle Control,Male,0,28,2025-03-03,343.6
TOX-2025-0118-P,M105,1,Vehicle Control,Male,0,1,2025-02-03,230.8
TOX-2025-0118-P,M105,1,Vehicle Control,Male,0,7,2025-02-10,260.4
TOX-2025-0118-P,M105,1,Vehicle Control,Male,0,14,2025-02-17,288.9
TOX-2025-0118-P,M105,1,Vehicle Control,Male,0,21,2025-02-24,313.4
TOX-2025-0118-P,M105,1,Vehicle Control,Male,0,28,2025-03-03,338.9
TOX-2025-0118-P,M201,2,Low Dose,Male,25,1,2025-02-03,227.6
TOX-2025-0118-P,M201,2,Low Dose,Male,25,7,2025-02-10,257.9
TOX-2025-0118-P,M201,2,Low Dose,Male,25,14,2025-02-17,285.8
TOX-2025-0118-P,M201,2,Low Dose,Male,25,21,2025-02-24,309.4
TOX-2025-0118-P,M201,2,Low Dose,Male,25,28,2025-03-03,334.7
TOX-2025-0118-P,M202,2,Low Dose,Male,25,1,2025-02-03,232.4
TOX-2025-0118-P,M202,2,Low Dose,Male,25,7,2025-02-10,262.1
TOX-2025-0118-P,M202,2,Low Dose,Male,25,14,2025-02-17,290.6
TOX-2025-0118-P,M202,2,Low Dose,Male,25,21,2025-02-24,314.3
TOX-2025-0118-P,M202,2,Low Dose,Male,25,28,2025-03-03,340.2
TOX-2025-0118-P,M203,2,Low Dose,Male,25,1,2025-02-03,228.9
TOX-2025-0118-P,M203,2,Low Dose,Male,25,7,2025-02-10,258.7
TOX-2025-0118-P,M203,2,Low Dose,Male,25,14,2025-02-17,286.9
TOX-2025-0118-P,M203,2,Low Dose,Male,25,21,2025-02-24,310.8
TOX-2025-0118-P,M203,2,Low Dose,Male,25,28,2025-03-03,336.4
TOX-2025-0118-P,M204,2,Low Dose,Male,25,1,2025-02-03,234.2
TOX-2025-0118-P,M204,2,Low Dose,Male,25,7,2025-02-10,263.8
TOX-2025-0118-P,M204,2,Low Dose,Male,25,14,2025-02-17,292.1
TOX-2025-0118-P,M204,2,Low Dose,Male,25,21,2025-02-24,316.4
TOX-2025-0118-P,M204,2,Low Dose,Male,25,28,2025-03-03,342.1
TOX-2025-0118-P,M205,2,Low Dose,Male,25,1,2025-02-03,229.7
TOX-2025-0118-P,M205,2,Low Dose,Male,25,7,2025-02-10,259.6
TOX-2025-0118-P,M205,2,Low Dose,Male,25,14,2025-02-17,288.2
TOX-2025-0118-P,M205,2,Low Dose,Male,25,21,2025-02-24,312.7
TOX-2025-0118-P,M205,2,Low Dose,Male,25,28,2025-03-03,337.8
TOX-2025-0118-P,M301,3,Mid Dose,Male,100,1,2025-02-03,231.2
TOX-2025-0118-P,M301,3,Mid Dose,Male,100,7,2025-02-10,258.4
TOX-2025-0118-P,M301,3,Mid Dose,Male,100,14,2025-02-17,283.6
TOX-2025-0118-P,M301,3,Mid Dose,Male,100,21,2025-02-24,304.2
TOX-2025-0118-P,M301,3,Mid Dose,Male,100,28,2025-03-03,318.7
