study_id,animal_id,group_number,group_name,sex,dose_mgkg_day,study_day_start,study_day_end,period_label,observation_type,finding,comment
TOX-2025-0118-P,M101,1,Vehicle Control,Male,0,1,7,Days 1-7,Cage-side,No abnormal findings,
TOX-2025-0118-P,M101,1,Vehicle Control,Male,0,8,14,Days 8-14,Cage-side,No abnormal findings,
TOX-2025-0118-P,M101,1,Vehicle Control,Male,0,15,21,Days 15-21,Cage-side,No abnormal findings,
TOX-2025-0118-P,M101,1,Vehicle Control,Male,0,22,28,Days 22-28,Cage-side,No abnormal findings,
TOX-2025-0118-P,M102,1,Vehicle Control,Male,0,1,7,Days 1-7,Cage-side,No abnormal findings,
TOX-2025-0118-P,M102,1,Vehicle Control,Male,0,8,14,Days 8-14,Cage-side,No abnormal findings,
TOX-2025-0118-P,M102,1,Vehicle Control,Male,0,15,21,Days 15-21,Cage-side,No abnormal findings,
TOX-2025-0118-P,M102,1,Vehicle Control,Male,0,22,28,Days 22-28,Cage-side,No abnormal findings,
TOX-2025-0118-P,M103,1,Vehicle Control,Male,0,1,7,Days 1-7,Cage-side,No abnormal findings,
TOX-2025-0118-P,M103,1,Vehicle Control,Male,0,8,14,Days 8-14,Cage-side,No abnormal findings,
TOX-2025-0118-P,M103,1,Vehicle Control,Male,0,15,21,Days 15-21,Cage-side,No abnormal findings,
TOX-2025-0118-P,M103,1,Vehicle Control,Male,0,22,28,Days 22-28,Cage-side,No abnormal findings,
TOX-2025-0118-P,M104,1,Vehicle Control,Male,0,1,7,Days 1-7,Cage-side,No abnormal findings,
TOX-2025-0118-P,M104,1,Vehicle Control,Male,0,8,14,Days 8-14,Cage-side,No abnormal findings,
TOX-2025-0118-P,M104,1,Vehicle Control,Male,0,15,21,Days 15-21,Cage-side,No abnormal findings,
TOX-2025-0118-P,M104,1,Vehicle Control,Male,0,22,28,Days 22-28,Cage-side,No abnormal findings,
TOX-2025-0118-P,M105,1,Vehicle Control,Male,0,1,7,Days 1-7,Cage-side,No abnormal findings,
TOX-2025-0118-P,M105,1,Vehicle Control,Male,0,8,14,Days 8-14,Cage-side,No abnormal findings,
TOX-2025-0118-P,M105,1,Vehicle Control,Male,0,15,21,Days 15-21,Cage-side,No abnormal findings,
TOX-2025-0118-P,M105,1,Vehicle Control,Male,0,22,28,Days 22-28,Cage-side,No abnormal findings,
TOX-2025-0118-P,M201,2,Low Dose,Male,25,1,7,Days 1-7,Cage-side,No abnormal findings,
TOX-2025-0118-P,M201,2,Low Dose,Male,25,8,14,Days 8-14,Cage-side,No abnormal findings,
TOX-2025-0118-P,M201,2,Low Dose,Male,25,15,21,Days 15-21,Cage-side,No abnormal findings,
TOX-2025-0118-P,M201,2,Low Dose,Male,25,22,28,Days 22-28,Cage-side,No abnormal findings,
TOX-2025-0118-P,M202,2,Low Dose,Male,25,1,7,Days 1-7,Cage-side,No abnormal findings,
TOX-2025-0118-P,M202,2,Low Dose,Male,25,8,14,Days 8-14,Cage-side,No abnormal findings,
TOX-2025-0118-P,M202,2,Low Dose,Male,25,15,21,Days 15-21,Cage-side,No abnormal findings,
TOX-2025-0118-P,M202,2,Low Dose,Male,25,22,28,Days 22-28,Cage-side,No abnormal findings,
TOX-2025-0118-P,M203,2,Low Dose,Male,25,1,7,Days 1-7,Cage-side,No abnormal findings,
TOX-2025-0118-P,M203,2,Low Dose,Male,25,8,14,Days 8-14,Cage-side,No abnormal findings,
TOX-2025-0118-P,M203,2,Low Dose,Male,25,15,21,Days 15-21,Cage-side,No abnormal findings,
TOX-2025-0118-P,M203,2,Low Dose,Male,25,22,28,Days 22-28,Cage-side,No abnormal findings,
TOX-2025-0118-P,M204,2,Low Dose,Male,25,1,7,Days 1-7,Cage-side,No abnormal findings,
TOX-2025-0118-P,M204,2,Low Dose,Male,25,8,14,Days 8-14,Cage-side,No abnormal findings,
TOX-2025-0118-P,M204,2,Low Dose,Male,25,15,21,Days 15-21,Cage-side,No abnormal findings,
TOX-2025-0118-P,M204,2,Low Dose,Male,25,22,28,Days 22-28,Cage-side,No abnormal findings,
TOX-2025-0118-P,M205,2,Low Dose,Male,25,1,7,Days 1-7,Cage-side,No abnormal findings,
TOX-2025-0118-P,M205,2,Low Dose,Male,25,8,14,Days 8-14,Cage-side,No abnormal findings,
TOX-2025-0118-P,M205,2,Low Dose,Male,25,15,21,Days 15-21,Cage-side,No abnormal findings,
TOX-2025-0118-P,M205,2,Low Dose,Male,25,22,28,Days 22-28,Cage-side,No abnormal findings,
TOX-2025-0118-P,M301,3,Mid Dose,Male,100,1,7,Days 1-7,Cage-side,No abnormal findings,
TOX-2025-0118-P,M301,3,Mid Dose,Male,100,8,14,Days 8-14,Cage-side,Soft stool,
TOX-2025-0118-P,M301,3,Mid Dose,Male,100,15,21,Days 15-21,Cage-side,No abnormal findings,
TOX-2025-0118-P,M301,3,Mid Dose,Male,100,22,28,Days 22-28,Cage-side,No abnormal findings,
TOX-2025-0118-P,M302,3,Mid Dose,Male,100,1,7,Days 1-7,Cage-side,No abnormal findings,
TOX-2025-0118-P,M302,3,Mid Dose,Male,100,8,14,Days 8-14,Cage-side,No abnormal findings,
TOX-2025-0118-P,M302,3,Mid Dose,Male,100,15,21,Days 15-21,Cage-side,No abnormal findings,
TOX-2025-0118-P,M302,3,Mid Dose,Male,100,22,28,Days 22-28,Cage-side,No abnormal findings,
TOX-2025-0118-P,M303,3,Mid Dose,Male,100,1,7,Days 1-7,Cage-side,No abnormal findings,
TOX-2025-0118-P,M303,3,Mid Dose,Male,100,8,14,Days 8-14,Cage-side,Soft stool,
TOX-2025-0118-P,M303,3,Mid Dose,Male,100,15,21,Days 15-21,Cage-side,No abnormal findings,
TOX-2025-0118-P,M303,3,Mid Dose,Male,100,22,28,Days 22-28,Cage-side,No abnormal findings,
TOX-2025-0118-P,M304,3,Mid Dose,Male,100,1,7,Days 1-7,Cage-side,No abnormal findings,
TOX-2025-0118-P,M304,3,Mid Dose,Male,100,8,14,Days 8-14,Cage-side,No abnormal findings,
TOX-2025-0118-P,M304,3,Mid Dose,Male,100,15,21,Days 15-21,Cage-side,No abnormal findings,
TOX-2025-0118-P,M304,3,Mid Dose,Male,100,22,28,Days 22-28,Cage-side,No abnormal findings,
TOX-2025-0118-P,M305,3,Mid Dose,Male,100,1,7,Days 1-7,Cage-side,No abnormal findings,
TOX-2025-0118-P,M305,3,Mid Dose,Male,100,8,14,Days 8-14,Cage-side,No abnormal findings,
TOX-2025-0118-P,M305,3,Mid Dose,Male,100,15,21,Days 15-21,Cage-side,No abnormal findings,
TOX-2025-0118-P,M305,3,Mid Dose,Male,100,22,28,Days 22-28,Cage-side,No abnormal findings,
TOX-2025-0118-P,M401,4,High Dose,Male,400,1,7,Days 1-7,Cage-side,Reduced activity,
TOX-2025-0118-P,M401,4,High Dose,Male,400,1,7,Days 1-7,Cage-side,Hunched posture,
TOX-2025-0118-P,M401,4,High Dose,Male,400,8,14,Days 8-14,Cage-side,Reduced activity,
TOX-2025-0118-P,M401,4,High Dose,Male,400,8,14,Days 8-14,Cage-side,Hunched posture,
TOX-2025-0118-P,M401,4,High Dose,Male,400,8,14,Days 8-14,Cage-side,Soft stool,
TOX-2025-0118-P,M401,4,High Dose,Male,400,15,21,Days 15-21,Cage-side,Reduced activity,
TOX-2025-0118-P,M401,4,High Dose,Male,400,15,21,Days 15-21,Cage-side,Soft stool,
TOX-2025-0118-P,M401,4,High Dose,Male,400,22,28,Days 22-28,Cage-side,Reduced activity,
TOX-2025-0118-P,M401,4,High Dose,Male,400,22,28,Days 22-28,Cage-side,Soft stool,
TOX-2025-0118-P,M402,4,High Dose,Male,400,1,7,Days 1-7,Cage-side,Reduced activity,
TOX-2025-0118-P,M402,4,High Dose,Male,400,1,7,Days 1-7,Cage-side,Hunched posture,
TOX-2025-0118-P,M402,4,High Dose,Male,400,1,7,Days 1-7,Cage-side,Partially closed eyes,
TOX-2025-0118-P,M402,4,High Dose,Male,400,8,14,Days 8-14,Cage-side,Reduced activity,
TOX-2025-0118-P,M402,4,High Dose,Male,400,8,14,Days 8-14,Cage-side,Hunched posture,
TOX-2025-0118-P,M402,4,High Dose,Male,400,8,14,Days 8-14,Cage-side,Soft stool,
TOX-2025-0118-P,M402,4,High Dose,Male,400,8,14,Days 8-14,Cage-side,Partially closed eyes,
TOX-2025-0118-P,M402,4,High Dose,Male,400,15,21,Days 15-21,Cage-side,Reduced activity,
TOX-2025-0118-P,M402,4,High Dose,Male,400,15,21,Days 15-21,Cage-side,Soft stool,
TOX-2025-0118-P,M402,4,High Dose,Male,400,22,28,Days 22-28,Cage-side,Reduced activity,
TOX-2025-0118-P,M402,4,High Dose,Male,400,22,28,Days 22-28,Cage-side,Soft stool,
TOX-2025-0118-P,M403,4,High Dose,Male,400,1,7,Days 1-7,Cage-side,Reduced activity,
TOX-2025-0118-P,M403,4,High Dose,Male,400,1,7,Days 1-7,Cage-side,Hunched posture,
TOX-2025-0118-P,M403,4,High Dose,Male,400,8,14,Days 8-14,Cage-side,Reduced activity,
TOX-2025-0118-P,M403,4,High Dose,Male,400,8,14,Days 8-14,Cage-side,Soft stool,
TOX-2025-0118-P,M403,4,High Dose,Male,400,15,21,Days 15-21,Cage-side,Reduced activity,
TOX-2025-0118-P,M403,4,High Dose,Male,400,15,21,Days 15-21,Cage-side,Soft stool,
TOX-2025-0118-P,M403,4,High Dose,Male,400,22,28,Days 22-28,Cage-side,Reduced activity,
TOX-2025-0118-P,M403,4,High Dose,Male,400,22,28,Days 22-28,Cage-side,Soft stool,
TOX-2025-0118-P,M404,4,High Dose,Male,400,1,7,Days 1-7,Cage-side,Reduced activity,
TOX-2025-0118-P,M404,4,High Dose,Male,400,8,14,Days 8-14,Cage-side,Reduced activity,
TOX-2025-0118-P,M404,4,High Dose,Male,400,8,14,Days 8-14,Cage-side,Soft stool,
TOX-2025-0118-P,M404,4,High Dose,Male,400,15,21,Days 15-21,Cage-side,Reduced activity,
TOX-2025-0118-P,M404,4,High Dose,Male,400,15,21,Days 15-21,Cage-side,Soft stool,
TOX-2025-0118-P,M404,4,High Dose,Male,400,22,28,Days 22-28,Cage-side,Reduced activity,
TOX-2025-0118-P,M404,4,High Dose,Male,400,22,28,Days 22-28,Cage-side,Soft stool,
TOX-2025-0118-P,M405,4,High Dose,Male,400,1,7,Days 1-7,Cage-side,Reduced activity,
TOX-2025-0118-P,M405,4,High Dose,Male,400,8,14,Days 8-14,Cage-side,Reduced activity,
TOX-2025-0118-P,M405,4,High Dose,Male,400,8,14,Days 8-14,Cage-side,Soft stool,
TOX-2025-0118-P,M405,4,High Dose,Male,400,15,21,Days 15-21,Cage-side,Reduced activity,
TOX-2025-0118-P,M405,4,High Dose,Male,400,15,21,Days 15-21,Cage-side,Soft stool,
TOX-2025-0118-P,M405,4,High Dose,Male,400,22,28,Days 22-28,Cage-side,Reduced activity,
TOX-2025-0118-P,M405,4,High Dose,Male,400,22,28,Days 22-28,Cage-side,Soft stool,
TOX-2025-0118-P,F101,1,Vehicle Control,Female,0,1,7,Days 1-7,Cage-side,No abnormal findings,
TOX-2025-0118-P,F101,1,Vehicle Control,Female,0,8,14,Days 8-14,Cage-side,No abnormal findings,
TOX-2025-0118-P,F101,1,Vehicle Control,Female,0,15,21,Days 15-21,Cage-side,No abnormal findings,
TOX-2025-0118-P,F101,1,Vehicle Control,Female,0,22,28,Days 22-28,Cage-side,No abnormal findings,
TOX-2025-0118-P,F102,1,Vehicle Control,Female,0,1,7,Days 1-7,Cage-side,No abnormal findings,
TOX-2025-0118-P,F102,1,Vehicle Control,Female,0,8,14,Days 8-14,Cage-side,No abnormal findings,
TOX-2025-0118-P,F102,1,Vehicle Control,Female,0,15,21,Days 15-21,Cage-side,No abnormal findings,
TOX-2025-0118-P,F102,1,Vehicle Control,Female,0,22,28,Days 22-28,Cage-side,No abnormal findings,
TOX-2025-0118-P,F103,1,Vehicle Control,Female,0,1,7,Days 1-7,Cage-side,No abnormal findings,
TOX-2025-0118-P,F103,1,Vehicle Control,Female,0,8,14,Days 8-14,Cage-side,No abnormal findings,
TOX-2025-0118-P,F103,1,Vehicle Control,Female,0,15,21,Days 15-21,Cage-side,No abnormal findings,
TOX-2025-0118-P,F103,1,Vehicle Control,Female,0,22,28,Days 22-28,Cage-side,No abnormal findings,
TOX-2025-0118-P,F104,1,Vehicle Control,Female,0,1,7,Days 1-7,Cage-side,No abnormal findings,
TOX-2025-0118-P,F104,1,Vehicle Control,Female,0,8,14,Days 8-14,Cage-side,No abnormal findings,
TOX-2025-0118-P,F104,1,Vehicle Control,Female,0,15,21,Days 15-21,Cage-side,No abnormal findings,
TOX-2025-0118-P,F104,1,Vehicle Control,Female,0,22,28,Days 22-28,Cage-side,No abnormal findings,
TOX-2025-0118-P,F105,1,Vehicle Control,Female,0,1,7,Days 1-7,Cage-side,No abnormal findings,
TOX-2025-0118-P,F105,1,Vehicle Control,Female,0,8,14,Days 8-14,Cage-side,No abnormal findings,
TOX-2025-0118-P,F105,1,Vehicle Control,Female,0,15,21,Days 15-21,Cage-side,No abnormal findings,
TOX-2025-0118-P,F105,1,Vehicle Control,Female,0,22,28,Days 22-28,Cage-side,No abnormal findings,
TOX-2025-0118-P,F201,2,Low Dose,Female,25,1,7,Days 1-7,Cage-side,No abnormal findings,
TOX-2025-0118-P,F201,2,Low Dose,Female,25,8,14,Days 8-14,Cage-side,No abnormal findings,
TOX-2025-0118-P,F201,2,Low Dose,Female,25,15,21,Days 15-21,Cage-side,No abnormal findings,
TOX-2025-0118-P,F201,2,Low Dose,Female,25,22,28,Days 22-28,Cage-side,No abnormal findings,
TOX-2025-0118-P,F202,2,Low Dose,Female,25,1,7,Days 1-7,Cage-side,No abnormal findings,
TOX-2025-0118-P,F202,2,Low Dose,Female,25,8,14,Days 8-14,Cage-side,No abnormal findings,
TOX-2025-0118-P,F202,2,Low Dose,Female,25,15,21,Days 15-21,Cage-side,No abnormal findings,
TOX-2025-0118-P,F202,2,Low Dose,Female,25,22,28,Days 22-28,Cage-side,No abnormal findings,
TOX-2025-0118-P,F203,2,Low Dose,Female,25,1,7,Days 1-7,Cage-side,No abnormal findings,
TOX-2025-0118-P,F203,2,Low Dose,Female,25,8,14,Days 8-14,Cage-side,No abnormal findings,
TOX-2025-0118-P,F203,2,Low Dose,Female,25,15,21,Days 15-21,Cage-side,No abnormal findings,
TOX-2025-0118-P,F203,2,Low Dose,Female,25,22,28,Days 22-28,Cage-side,No abnormal findings,
TOX-2025-0118-P,F204,2,Low Dose,Female,25,1,7,Days 1-7,Cage-side,No abnormal findings,
TOX-2025-0118-P,F204,2,Low Dose,Female,25,8,14,Days 8-14,Cage-side,No abnormal findings,
TOX-2025-0118-P,F204,2,Low Dose,Female,25,15,21,Days 15-21,Cage-side,No abnormal findings,
TOX-2025-0118-P,F204,2,Low Dose,Female,25,22,28,Days 22-28,Cage-side,No abnormal findings,
TOX-2025-0118-P,F205,2,Low Dose,Female,25,1,7,Days 1-7,Cage-side,No abnormal findings,
TOX-2025-0118-P,F205,2,Low Dose,Female,25,8,14,Days 8-14,Cage-side,No abnormal findings,
TOX-2025-0118-P,F205,2,Low Dose,Female,25,15,21,Days 15-21,Cage-side,No abnormal findings,
TOX-2025-0118-P,F205,2,Low Dose,Female,25,22,28,Days 22-28,Cage-side,No abnormal findings,
TOX-2025-0118-P,F301,3,Mid Dose,Female,100,1,7,Days 1-7,Cage-side,No abnormal findings,
TOX-2025-0118-P,F301,3,Mid Dose,Female,100,8,14,Days 8-14,Cage-side,No abnormal findings,
TOX-2025-0118-P,F301,3,Mid Dose,Female,100,15,21,Days 15-21,Cage-side,No abnormal findings,
TOX-2025-0118-P,F301,3,Mid Dose,Female,100,22,28,Days 22-28,Cage-side,No abnormal findings,
TOX-2025-0118-P,F302,3,Mid Dose,Female,100,1,7,Days 1-7,Cage-side,No abnormal findings,
TOX-2025-0118-P,F302,3,Mid Dose,Female,100,8,14,Days 8-14,Cage-side,No abnormal findings,
TOX-2025-0118-P,F302,3,Mid Dose,Female,100,15,21,Days 15-21,Cage-side,No abnormal findings,
TOX-2025-0118-P,F302,3,Mid Dose,Female,100,22,28,Days 22-28,Cage-side,No abnormal findings,
TOX-2025-0118-P,F303,3,Mid Dose,Female,100,1,7,Days 1-7,Cage-side,No abnormal findings,
TOX-2025-0118-P,F303,3,Mid Dose,Female,100,8,14,Days 8-14,Cage-side,No abnormal findings,
TOX-2025-0118-P,F303,3,Mid Dose,Female,100,15,21,Days 15-21,Cage-side,No abnormal findings,
TOX-2025-0118-P,F303,3,Mid Dose,Female,100,22,28,Days 22-28,Cage-side,No abnormal findings,
TOX-2025-0118-P,F304,3,Mid Dose,Female,100,1,7,Days 1-7,Cage-side,No abnormal findings,
TOX-2025-0118-P,F304,3,Mid Dose,Female,100,8,14,Days 8-14,Cage-side,No abnormal findings,
TOX-2025-0118-P,F304,3,Mid Dose,Female,100,15,21,Days 15-21,Cage-side,No abnormal findings,
TOX-2025-0118-P,F304,3,Mid Dose,Female,100,22,28,Days 22-28,Cage-side,No abnormal findings,
TOX-2025-0118-P,F305,3,Mid Dose,Female,100,1,7,Days 1-7,Cage-side,No abnormal findings,
TOX-2025-0118-P,F305,3,Mid Dose,Female,100,8,14,Days 8-14,Cage-side,No abnormal findings,
TOX-2025-0118-P,F305,3,Mid Dose,Female,100,15,21,Days 15-21,Cage-side,No abnormal findings,
TOX-2025-0118-P,F305,3,Mid Dose,Female,100,22,28,Days 22-28,Cage-side,No abnormal findings,
TOX-2025-0118-P,F401,4,High Dose,Female,400,1,7,Days 1-7,Cage-side,Reduced activity,
TOX-2025-0118-P,F401,4,High Dose,Female,400,1,7,Days 1-7,Cage-side,Hunched posture,
TOX-2025-0118-P,F401,4,High Dose,Female,400,1,7,Days 1-7,Cage-side,Partially closed eyes,
TOX-2025-0118-P,F401,4,High Dose,Female,400,8,14,Days 8-14,Cage-side,Reduced activity,
TOX-2025-0118-P,F401,4,High Dose,Female,400,8,14,Days 8-14,Cage-side,Soft stool,
TOX-2025-0118-P,F401,4,High Dose,Female,400,8,14,Days 8-14,Cage-side,Partially closed eyes,
TOX-2025-0118-P,F401,4,High Dose,Female,400,15,21,Days 15-21,Cage-side,Reduced activity,
TOX-2025-0118-P,F401,4,High Dose,Female,400,15,21,Days 15-21,Cage-side,Soft stool,
TOX-2025-0118-P,F401,4,High Dose,Female,400,22,28,Days 22-28,Cage-side,Reduced activity,
TOX-2025-0118-P,F401,4,High Dose,Female,400,22,28,Days 22-28,Cage-side,Soft stool,
TOX-2025-0118-P,F402,4,High Dose,Female,400,1,7,Days 1-7,Cage-side,Reduced activity,
TOX-2025-0118-P,F402,4,High Dose,Female,400,1,7,Days 1-7,Cage-side,Hunched posture,
TOX-2025-0118-P,F402,4,High Dose,Female,400,8,14,Days 8-14,Cage-side,Reduced activity,
TOX-2025-0118-P,F402,4,High Dose,Female,400,8,14,Days 8-14,Cage-side,Soft stool,
TOX-2025-0118-P,F402,4,High Dose,Female,400,15,21,Days 15-21,Cage-side,Reduced activity,
TOX-2025-0118-P,F402,4,High Dose,Female,400,15,21,Days 15-21,Cage-side,Soft stool,
TOX-2025-0118-P,F402,4,High Dose,Female,400,22,28,Days 22-28,Cage-side,Reduced activity,
TOX-2025-0118-P,F402,4,High Dose,Female,400,22,28,Days 22-28,Cage-side,Soft stool,
TOX-2025-0118-P,F403,4,High Dose,Female,400,1,7,Days 1-7,Cage-side,Reduced activity,
TOX-2025-0118-P,F403,4,High Dose,Female,400,8,14,Days 8-14,Cage-side,Reduced activity,
TOX-2025-0118-P,F403,4,High Dose,Female,400,8,14,Days 8-14,Cage-side,Soft stool,
TOX-2025-0118-P,F403,4,High Dose,Female,400,15,21,Days 15-21,Cage-side,Reduced activity,
TOX-2025-0118-P,F403,4,High Dose,Female,400,15,21,Days 15-21,Cage-side,Soft stool,
TOX-2025-0118-P,F403,4,High Dose,Female,400,22,28,Days 22-28,Cage-side,Reduced activity,
TOX-2025-0118-P,F403,4,High Dose,Female,400,22,28,Days 22-28,Cage-side,Soft stool,
TOX-2025-0118-P,F404,4,High Dose,Female,400,1,7,Days 1-7,Cage-side,Reduced activity,
TOX-2025-0118-P,F404,4,High Dose,Female,400,1,7,Days 1-7,Cage-side,Hunched posture,
TOX-2025-0118-P,F404,4,High Dose,Female,400,8,14,Days 8-14,Cage-side,Reduced activity,
TOX-2025-0118-P,F404,4,High Dose,Female,400,8,14,Days 8-14,Cage-side,Soft stool,
TOX-2025-0118-P,F404,4,High Dose,Female,400,15,21,Days 15-21,Cage-side,Reduced activity,
TOX-2025-0118-P,F404,4,High Dose,Female,400,15,21,Days 15-21,Cage-side,Soft stool,
TOX-2025-0118-P,F404,4,High Dose,Female,400,22,28,Days 22-28,Cage-side,Reduced activity,
TOX-2025-0118-P,F404,4,High Dose,Female,400,22,28,Days 22-28,Cage-side,Soft stool,
