study_id,animal_id,group_number,group_name,sex,dose_mgkg_day,tissue,observation,is_collected_for_histo,comment,necropsy_date
TOX-2025-0118-P,M101,1,Vehicle Control,Male,0,All tissues,No remarkable gross findings,N,,2025-03-04
TOX-2025-0118-P,M102,1,Vehicle Control,Male,0,All tissues,No remarkable gross findings,N,,2025-03-04
TOX-2025-0118-P,M103,1,Vehicle Control,Male,0,All tissues,No remarkable gross findings,N,,2025-03-04
TOX-2025-0118-P,M104,1,Vehicle Control,Male,0,All tissues,No remarkable gross findings,N,,2025-03-04
TOX-2025-0118-P,M105,1,Vehicle Control,Male,0,All tissues,No remarkable gross findings,N,,2025-03-04
TOX-2025-0118-P,M201,2,Low Dose,Male,25,All tissues,No remarkable gross findings,N,,2025-03-04
TOX-2025-0118-P,M202,2,Low Dose,Male,25,All tissues,No remarkable gross findings,N,,2025-03-04
TOX-2025-0118-P,M203,2,Low Dose,Male,25,All tissues,No remarkable gross findings,N,,2025-03-04
TOX-2025-0118-P,M204,2,Low Dose,Male,25,All tissues,No remarkable gross findings,N,,2025-03-04
TOX-2025-0118-P,M205,2,Low Dose,Male,25,All tissues,No remarkable gross findings,N,,2025-03-04
TOX-2025-0118-P,M301,3,Mid Dose,Male,100,All tissues,No remarkable gross findings,N,,2025-03-04
TOX-2025-0118-P,M302,3,Mid Dose,Male,100,All tissues,No remarkable gross findings,N,,2025-03-04
TOX-2025-0118-P,M303,3,Mid Dose,Male,100,All tissues,No remarkable gross findings,N,,2025-03-04
TOX-2025-0118-P,M304,3,Mid Dose,Male,100,All tissues,No remarkable gross findings,N,,2025-03-04
TOX-2025-0118-P,M305,3,Mid Dose,Male,100,All tissues,No remarkable gross findings,N,,2025-03-04
TOX-2025-0118-P,M401,4,High Dose,Male,400,Liver,Enlarged; mottled pale-tan discoloration,Y,Collected for histopathology evaluation,2025-03-04
TOX-2025-0118-P,M401,4,High Dose,Male,400,All other tissues,No remarkable gross findings,N,,2025-03-04
TOX-2025-0118-P,M402,4,High Dose,Male,400,Liver,Enlarged; pale-tan discoloration; dark surface foci,Y,Collected for histopathology evaluation,2025-03-04
TOX-2025-0118-P,M402,4,High Dose,Male,400,All other tissues,No remarkable gross findings,N,,2025-03-04
TOX-2025-0118-P,M403,4,High Dose,Male,400,Liver,Enlarged; pale-tan discoloration,Y,Collected for histopathology evaluation,2025-03-04
TOX-2025-0118-P,M403,4,High Dose,Male,400,All other tissues,No remarkable gross findings,N,,2025-03-04
