study_id,animal_id,group_number,group_name,sex,dose_mgkg_day,tissue,finding,grade,grade_text,distribution,comment
TOX-2025-0118-P,M101,1,Vehicle Control,Male,0,Liver,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,M101,1,Vehicle Control,Male,0,Kidneys,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,M101,1,Vehicle Control,Male,0,Heart,No remarkable findings,0,,,
TOX-2025-0118-P,M101,1,Vehicle Control,Male,0,Brain,No remarkable findings,0,,,
TOX-2025-0118-P,M101,1,Vehicle Control,Male,0,Spleen,No remarkable findings,0,,,
TOX-2025-0118-P,M101,1,Vehicle Control,Male,0,Thymus,No remarkable findings,0,,,
TOX-2025-0118-P,M101,1,Vehicle Control,Male,0,Adrenal glands,No remarkable findings,0,,,
TOX-2025-0118-P,M101,1,Vehicle Control,Male,0,Gonads,No remarkable findings,0,,,
TOX-2025-0118-P,M101,1,Vehicle Control,Male,0,Lungs,No remarkable findings,0,,,
TOX-2025-0118-P,M101,1,Vehicle Control,Male,0,Bone marrow,No remarkable findings,0,,,
TOX-2025-0118-P,M102,1,Vehicle Control,Male,0,Liver,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,M102,1,Vehicle Control,Male,0,Kidneys,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,M102,1,Vehicle Control,Male,0,Heart,No remarkable findings,0,,,
TOX-2025-0118-P,M102,1,Vehicle Control,Male,0,Brain,No remarkable findings,0,,,
TOX-2025-0118-P,M102,1,Vehicle Control,Male,0,Spleen,No remarkable findings,0,,,
TOX-2025-0118-P,M102,1,Vehicle Control,Male,0,Thymus,No remarkable findings,0,,,
TOX-2025-0118-P,M102,1,Vehicle Control,Male,0,Adrenal glands,No remarkable findings,0,,,
TOX-2025-0118-P,M102,1,Vehicle Control,Male,0,Gonads,No remarkable findings,0,,,
TOX-2025-0118-P,M102,1,Vehicle Control,Male,0,Lungs,No remarkable findings,0,,,
TOX-2025-0118-P,M102,1,Vehicle Control,Male,0,Bone marrow,No remarkable findings,0,,,
TOX-2025-0118-P,M103,1,Vehicle Control,Male,0,Liver,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,M103,1,Vehicle Control,Male,0,Kidneys,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,M103,1,Vehicle Control,Male,0,Heart,No remarkable findings,0,,,
TOX-2025-0118-P,M103,1,Vehicle Control,Male,0,Brain,No remarkable findings,0,,,
TOX-2025-0118-P,M103,1,Vehicle Control,Male,0,Spleen,No remarkable findings,0,,,
TOX-2025-0118-P,M103,1,Vehicle Control,Male,0,Thymus,No remarkable findings,0,,,
TOX-2025-0118-P,M103,1,Vehicle Control,Male,0,Adrenal glands,No remarkable findings,0,,,
TOX-2025-0118-P,M103,1,Vehicle Control,Male,0,Gonads,No remarkable findings,0,,,
TOX-2025-0118-P,M103,1,Vehicle Control,Male,0,Lungs,No remarkable findings,0,,,
TOX-2025-0118-P,M103,1,Vehicle Control,Male,0,Bone marrow,No remarkable findings,0,,,
TOX-2025-0118-P,M104,1,Vehicle Control,Male,0,Liver,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,M104,1,Vehicle Control,Male,0,Kidneys,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,M104,1,Vehicle Control,Male,0,Heart,No remarkable findings,0,,,
TOX-2025-0118-P,M104,1,Vehicle Control,Male,0,Brain,No remarkable findings,0,,,
TOX-2025-0118-P,M104,1,Vehicle Control,Male,0,Spleen,No remarkable findings,0,,,
TOX-2025-0118-P,M104,1,Vehicle Control,Male,0,Thymus,No remarkable findings,0,,,
TOX-2025-0118-P,M104,1,Vehicle Control,Male,0,Adrenal glands,No remarkable findings,0,,,
TOX-2025-0118-P,M104,1,Vehicle Control,Male,0,Gonads,No remarkable findings,0,,,
TOX-2025-0118-P,M104,1,Vehicle Control,Male,0,Lungs,No remarkable findings,0,,,
TOX-2025-0118-P,M104,1,Vehicle Control,Male,0,Bone marrow,No remarkable findings,0,,,
TOX-2025-0118-P,M105,1,Vehicle Control,Male,0,Liver,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,M105,1,Vehicle Control,Male,0,Kidneys,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,M105,1,Vehicle Control,Male,0,Heart,No remarkable findings,0,,,
TOX-2025-0118-P,M105,1,Vehicle Control,Male,0,Brain,No remarkable findings,0,,,
TOX-2025-0118-P,M105,1,Vehicle Control,Male,0,Spleen,No remarkable findings,0,,,
TOX-2025-0118-P,M105,1,Vehicle Control,Male,0,Thymus,No remarkable findings,0,,,
TOX-2025-0118-P,M105,1,Vehicle Control,Male,0,Adrenal glands,No remarkable findings,0,,,
TOX-2025-0118-P,M105,1,Vehicle Control,Male,0,Gonads,No remarkable findings,0,,,
TOX-2025-0118-P,M105,1,Vehicle Control,Male,0,Lungs,No remarkable findings,0,,,
TOX-2025-0118-P,M105,1,Vehicle Control,Male,0,Bone marrow,No remarkable findings,0,,,
TOX-2025-0118-P,M201,2,Low Dose,Male,25,Liver,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,M201,2,Low Dose,Male,25,Kidneys,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,M202,2,Low Dose,Male,25,Liver,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,M202,2,Low Dose,Male,25,Kidneys,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,M203,2,Low Dose,Male,25,Liver,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,M203,2,Low Dose,Male,25,Kidneys,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,M204,2,Low Dose,Male,25,Liver,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,M204,2,Low Dose,Male,25,Kidneys,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,M205,2,Low Dose,Male,25,Liver,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,M205,2,Low Dose,Male,25,Kidneys,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,M301,3,Mid Dose,Male,100,Liver,Hepatocellular hypertrophy,1,Minimal,Centrilobular,Pathology peer-reviewed
TOX-2025-0118-P,M301,3,Mid Dose,Male,100,Kidneys,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,M302,3,Mid Dose,Male,100,Liver,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,M302,3,Mid Dose,Male,100,Kidneys,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,M303,3,Mid Dose,Male,100,Liver,Hepatocellular hypertrophy,1,Minimal,Centrilobular,Pathology peer-reviewed
TOX-2025-0118-P,M303,3,Mid Dose,Male,100,Kidneys,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,M304,3,Mid Dose,Male,100,Liver,Hepatocellular hypertrophy,1,Minimal,Centrilobular,Pathology peer-reviewed
TOX-2025-0118-P,M304,3,Mid Dose,Male,100,Kidneys,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,M305,3,Mid Dose,Male,100,Liver,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,M305,3,Mid Dose,Male,100,Kidneys,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,M401,4,High Dose,Male,400,Liver,Hepatocellular hypertrophy,2,Mild,Centrilobular,Pathology peer-reviewed
TOX-2025-0118-P,M401,4,High Dose,Male,400,Liver,Centrilobular necrosis,2,Mild,Centrilobular distribution,Pathology peer-reviewed
TOX-2025-0118-P,M401,4,High Dose,Male,400,Kidneys,Renal tubular basophilia,1,Minimal,Cortical,Pathology peer-reviewed
TOX-2025-0118-P,M401,4,High Dose,Male,400,Heart,No remarkable findings,0,,,
TOX-2025-0118-P,M401,4,High Dose,Male,400,Brain,No remarkable findings,0,,,
TOX-2025-0118-P,M401,4,High Dose,Male,400,Spleen,No remarkable findings,0,,,
TOX-2025-0118-P,M401,4,High Dose,Male,400,Thymus,Lymphoid depletion,1,Minimal,Diffuse,Consistent with stress-related involution
TOX-2025-0118-P,M401,4,High Dose,Male,400,Adrenal glands,No remarkable findings,0,,,
TOX-2025-0118-P,M401,4,High Dose,Male,400,Gonads,No remarkable findings,0,,,
TOX-2025-0118-P,M401,4,High Dose,Male,400,Lungs,No remarkable findings,0,,,
TOX-2025-0118-P,M401,4,High Dose,Male,400,Bone marrow,No remarkable findings,0,,,
TOX-2025-0118-P,M402,4,High Dose,Male,400,Liver,Hepatocellular hypertrophy,3,Moderate,Centrilobular,Pathology peer-reviewed
TOX-2025-0118-P,M402,4,High Dose,Male,400,Liver,Centrilobular necrosis,3,Moderate,Centrilobular distribution,Pathology peer-reviewed
TOX-2025-0118-P,M402,4,High Dose,Male,400,Kidneys,Renal tubular basophilia,1,Minimal,Cortical,Pathology peer-reviewed
TOX-2025-0118-P,M402,4,High Dose,Male,400,Heart,No remarkable findings,0,,,
TOX-2025-0118-P,M402,4,High Dose,Male,400,Brain,No remarkable findings,0,,,
TOX-2025-0118-P,M402,4,High Dose,Male,400,Spleen,No remarkable findings,0,,,
TOX-2025-0118-P,M402,4,High Dose,Male,400,Thymus,Lymphoid depletion,1,Minimal,Diffuse,Consistent with stress-related involution
TOX-2025-0118-P,M402,4,High Dose,Male,400,Adrenal glands,No remarkable findings,0,,,
TOX-2025-0118-P,M402,4,High Dose,Male,400,Gonads,No remarkable findings,0,,,
TOX-2025-0118-P,M402,4,High Dose,Male,400,Lungs,No remarkable findings,0,,,
TOX-2025-0118-P,M402,4,High Dose,Male,400,Bone marrow,No remarkable findings,0,,,
TOX-2025-0118-P,M403,4,High Dose,Male,400,Liver,Hepatocellular hypertrophy,2,Mild,Centrilobular,Pathology peer-reviewed
TOX-2025-0118-P,M403,4,High Dose,Male,400,Kidneys,Renal tubular basophilia,1,Minimal,Cortical,Pathology peer-reviewed
TOX-2025-0118-P,M403,4,High Dose,Male,400,Heart,No remarkable findings,0,,,
TOX-2025-0118-P,M403,4,High Dose,Male,400,Brain,No remarkable findings,0,,,
TOX-2025-0118-P,M403,4,High Dose,Male,400,Spleen,No remarkable findings,0,,,
TOX-2025-0118-P,M403,4,High Dose,Male,400,Thymus,No remarkable findings,0,,,
TOX-2025-0118-P,M403,4,High Dose,Male,400,Adrenal glands,No remarkable findings,0,,,
TOX-2025-0118-P,M403,4,High Dose,Male,400,Gonads,No remarkable findings,0,,,
TOX-2025-0118-P,M403,4,High Dose,Male,400,Lungs,No remarkable findings,0,,,
TOX-2025-0118-P,M403,4,High Dose,Male,400,Bone marrow,No remarkable findings,0,,,
TOX-2025-0118-P,M404,4,High Dose,Male,400,Liver,Hepatocellular hypertrophy,2,Mild,Centrilobular,Pathology peer-reviewed
TOX-2025-0118-P,M404,4,High Dose,Male,400,Kidneys,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,M404,4,High Dose,Male,400,Heart,No remarkable findings,0,,,
TOX-2025-0118-P,M404,4,High Dose,Male,400,Brain,No remarkable findings,0,,,
TOX-2025-0118-P,M404,4,High Dose,Male,400,Spleen,No remarkable findings,0,,,
TOX-2025-0118-P,M404,4,High Dose,Male,400,Thymus,No remarkable findings,0,,,
TOX-2025-0118-P,M404,4,High Dose,Male,400,Adrenal glands,No remarkable findings,0,,,
TOX-2025-0118-P,M404,4,High Dose,Male,400,Gonads,No remarkable findings,0,,,
TOX-2025-0118-P,M404,4,High Dose,Male,400,Lungs,No remarkable findings,0,,,
TOX-2025-0118-P,M404,4,High Dose,Male,400,Bone marrow,No remarkable findings,0,,,
TOX-2025-0118-P,M405,4,High Dose,Male,400,Liver,Hepatocellular hypertrophy,2,Mild,Centrilobular,Pathology peer-reviewed
TOX-2025-0118-P,M405,4,High Dose,Male,400,Kidneys,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,M405,4,High Dose,Male,400,Heart,No remarkable findings,0,,,
TOX-2025-0118-P,M405,4,High Dose,Male,400,Brain,No remarkable findings,0,,,
TOX-2025-0118-P,M405,4,High Dose,Male,400,Spleen,No remarkable findings,0,,,
TOX-2025-0118-P,M405,4,High Dose,Male,400,Thymus,No remarkable findings,0,,,
TOX-2025-0118-P,M405,4,High Dose,Male,400,Adrenal glands,No remarkable findings,0,,,
TOX-2025-0118-P,M405,4,High Dose,Male,400,Gonads,No remarkable findings,0,,,
TOX-2025-0118-P,M405,4,High Dose,Male,400,Lungs,No remarkable findings,0,,,
TOX-2025-0118-P,M405,4,High Dose,Male,400,Bone marrow,No remarkable findings,0,,,
TOX-2025-0118-P,F101,1,Vehicle Control,Female,0,Liver,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,F101,1,Vehicle Control,Female,0,Kidneys,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,F101,1,Vehicle Control,Female,0,Heart,No remarkable findings,0,,,
TOX-2025-0118-P,F101,1,Vehicle Control,Female,0,Brain,No remarkable findings,0,,,
TOX-2025-0118-P,F101,1,Vehicle Control,Female,0,Spleen,No remarkable findings,0,,,
TOX-2025-0118-P,F101,1,Vehicle Control,Female,0,Thymus,No remarkable findings,0,,,
TOX-2025-0118-P,F101,1,Vehicle Control,Female,0,Adrenal glands,No remarkable findings,0,,,
TOX-2025-0118-P,F101,1,Vehicle Control,Female,0,Gonads,No remarkable findings,0,,,
TOX-2025-0118-P,F101,1,Vehicle Control,Female,0,Lungs,No remarkable findings,0,,,
TOX-2025-0118-P,F101,1,Vehicle Control,Female,0,Bone marrow,No remarkable findings,0,,,
TOX-2025-0118-P,F102,1,Vehicle Control,Female,0,Liver,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,F102,1,Vehicle Control,Female,0,Kidneys,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,F102,1,Vehicle Control,Female,0,Heart,No remarkable findings,0,,,
TOX-2025-0118-P,F102,1,Vehicle Control,Female,0,Brain,No remarkable findings,0,,,
TOX-2025-0118-P,F102,1,Vehicle Control,Female,0,Spleen,No remarkable findings,0,,,
TOX-2025-0118-P,F102,1,Vehicle Control,Female,0,Thymus,No remarkable findings,0,,,
TOX-2025-0118-P,F102,1,Vehicle Control,Female,0,Adrenal glands,No remarkable findings,0,,,
TOX-2025-0118-P,F102,1,Vehicle Control,Female,0,Gonads,No remarkable findings,0,,,
TOX-2025-0118-P,F102,1,Vehicle Control,Female,0,Lungs,No remarkable findings,0,,,
TOX-2025-0118-P,F102,1,Vehicle Control,Female,0,Bone marrow,No remarkable findings,0,,,
TOX-2025-0118-P,F103,1,Vehicle Control,Female,0,Liver,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,F103,1,Vehicle Control,Female,0,Kidneys,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,F103,1,Vehicle Control,Female,0,Heart,No remarkable findings,0,,,
TOX-2025-0118-P,F103,1,Vehicle Control,Female,0,Brain,No remarkable findings,0,,,
TOX-2025-0118-P,F103,1,Vehicle Control,Female,0,Spleen,No remarkable findings,0,,,
TOX-2025-0118-P,F103,1,Vehicle Control,Female,0,Thymus,No remarkable findings,0,,,
TOX-2025-0118-P,F103,1,Vehicle Control,Female,0,Adrenal glands,No remarkable findings,0,,,
TOX-2025-0118-P,F103,1,Vehicle Control,Female,0,Gonads,No remarkable findings,0,,,
TOX-2025-0118-P,F103,1,Vehicle Control,Female,0,Lungs,No remarkable findings,0,,,
TOX-2025-0118-P,F103,1,Vehicle Control,Female,0,Bone marrow,No remarkable findings,0,,,
TOX-2025-0118-P,F104,1,Vehicle Control,Female,0,Liver,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,F104,1,Vehicle Control,Female,0,Kidneys,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,F104,1,Vehicle Control,Female,0,Heart,No remarkable findings,0,,,
TOX-2025-0118-P,F104,1,Vehicle Control,Female,0,Brain,No remarkable findings,0,,,
TOX-2025-0118-P,F104,1,Vehicle Control,Female,0,Spleen,No remarkable findings,0,,,
TOX-2025-0118-P,F104,1,Vehicle Control,Female,0,Thymus,No remarkable findings,0,,,
TOX-2025-0118-P,F104,1,Vehicle Control,Female,0,Adrenal glands,No remarkable findings,0,,,
TOX-2025-0118-P,F104,1,Vehicle Control,Female,0,Gonads,No remarkable findings,0,,,
TOX-2025-0118-P,F104,1,Vehicle Control,Female,0,Lungs,No remarkable findings,0,,,
TOX-2025-0118-P,F104,1,Vehicle Control,Female,0,Bone marrow,No remarkable findings,0,,,
TOX-2025-0118-P,F105,1,Vehicle Control,Female,0,Liver,No remarkable findings,0,,,Pathology peer-reviewed
TOX-2025-0118-P,F105,1,Vehicle Control,Female,0,Kidneys,No remarkable findings,0,,,Pathology peer-reviewed
