study_id,animal_id,group_number,group_name,sex,dose_mgkg_day,organ,organ_label,paired,weight_g,bw_at_necropsy_g,organ_to_bw_ratio,necropsy_date
TOX-2025-0118-P,M101,1,Vehicle Control,Male,0,liver,Liver,N,11.24,335.8,3.3472,2025-03-04
TOX-2025-0118-P,M101,1,Vehicle Control,Male,0,kidney,Kidneys (paired),Y,2.14,335.8,0.6373,2025-03-04
TOX-2025-0118-P,M101,1,Vehicle Control,Male,0,heart,Heart,N,1.1,335.8,0.3276,2025-03-04
TOX-2025-0118-P,M101,1,Vehicle Control,Male,0,brain,Brain,N,1.88,335.8,0.5599,2025-03-04
TOX-2025-0118-P,M101,1,Vehicle Control,Male,0,spleen,Spleen,N,0.72,335.8,0.2144,2025-03-04
TOX-2025-0118-P,M101,1,Vehicle Control,Male,0,thymus,Thymus,N,0.37,335.8,0.1102,2025-03-04
TOX-2025-0118-P,M102,1,Vehicle Control,Male,0,liver,Liver,N,11.58,341.4,3.3919,2025-03-04
TOX-2025-0118-P,M102,1,Vehicle Control,Male,0,kidney,Kidneys (paired),Y,2.2,341.4,0.6444,2025-03-04
TOX-2025-0118-P,M102,1,Vehicle Control,Male,0,heart,Heart,N,1.14,341.4,0.3339,2025-03-04
TOX-2025-0118-P,M102,1,Vehicle Control,Male,0,brain,Brain,N,1.91,341.4,0.5595,2025-03-04
TOX-2025-0118-P,M102,1,Vehicle Control,Male,0,spleen,Spleen,N,0.76,341.4,0.2226,2025-03-04
TOX-2025-0118-P,M102,1,Vehicle Control,Male,0,thymus,Thymus,N,0.39,341.4,0.1142,2025-03-04
TOX-2025-0118-P,M103,1,Vehicle Control,Male,0,liver,Liver,N,11.36,337.2,3.3689,2025-03-04
TOX-2025-0118-P,M103,1,Vehicle Control,Male,0,kidney,Kidneys (paired),Y,2.17,337.2,0.6435,2025-03-04
TOX-2025-0118-P,M103,1,Vehicle Control,Male,0,heart,Heart,N,1.11,337.2,0.3292,2025-03-04
TOX-2025-0118-P,M103,1,Vehicle Control,Male,0,brain,Brain,N,1.87,337.2,0.5546,2025-03-04
TOX-2025-0118-P,M103,1,Vehicle Control,Male,0,spleen,Spleen,N,0.73,337.2,0.2165,2025-03-04
TOX-2025-0118-P,M103,1,Vehicle Control,Male,0,thymus,Thymus,N,0.36,337.2,0.1068,2025-03-04
TOX-2025-0118-P,M104,1,Vehicle Control,Male,0,liver,Liver,N,11.74,343.6,3.4168,2025-03-04
TOX-2025-0118-P,M104,1,Vehicle Control,Male,0,kidney,Kidneys (paired),Y,2.23,343.6,0.649,2025-03-04
TOX-2025-0118-P,M104,1,Vehicle Control,Male,0,heart,Heart,N,1.15,343.6,0.3347,2025-03-04
TOX-2025-0118-P,M104,1,Vehicle Control,Male,0,brain,Brain,N,1.92,343.6,0.5588,2025-03-04
TOX-2025-0118-P,M104,1,Vehicle Control,Male,0,spleen,Spleen,N,0.77,343.6,0.2241,2025-03-04
TOX-2025-0118-P,M104,1,Vehicle Control,Male,0,thymus,Thymus,N,0.4,343.6,0.1164,2025-03-04
TOX-2025-0118-P,M105,1,Vehicle Control,Male,0,liver,Liver,N,11.46,338.9,3.3815,2025-03-04
TOX-2025-0118-P,M105,1,Vehicle Control,Male,0,kidney,Kidneys (paired),Y,2.18,338.9,0.6433,2025-03-04
TOX-2025-0118-P,M105,1,Vehicle Control,Male,0,heart,Heart,N,1.12,338.9,0.3305,2025-03-04
TOX-2025-0118-P,M105,1,Vehicle Control,Male,0,brain,Brain,N,1.89,338.9,0.5577,2025-03-04
TOX-2025-0118-P,M105,1,Vehicle Control,Male,0,spleen,Spleen,N,0.74,338.9,0.2184,2025-03-04
TOX-2025-0118-P,M105,1,Vehicle Control,Male,0,thymus,Thymus,N,0.38,338.9,0.1121,2025-03-04
TOX-2025-0118-P,M201,2,Low Dose,Male,25,liver,Liver,N,11.31,334.7,3.3791,2025-03-04
TOX-2025-0118-P,M201,2,Low Dose,Male,25,kidney,Kidneys (paired),Y,2.16,334.7,0.6454,2025-03-04
TOX-2025-0118-P,M201,2,Low Dose,Male,25,heart,Heart,N,1.11,334.7,0.3316,2025-03-04
TOX-2025-0118-P,M201,2,Low Dose,Male,25,brain,Brain,N,1.89,334.7,0.5647,2025-03-04
TOX-2025-0118-P,M201,2,Low Dose,Male,25,spleen,Spleen,N,0.73,334.7,0.2181,2025-03-04
TOX-2025-0118-P,M201,2,Low Dose,Male,25,thymus,Thymus,N,0.37,334.7,0.1105,2025-03-04
TOX-2025-0118-P,M202,2,Low Dose,Male,25,liver,Liver,N,11.52,340.2,3.3862,2025-03-04
TOX-2025-0118-P,M202,2,Low Dose,Male,25,kidney,Kidneys (paired),Y,2.19,340.2,0.6437,2025-03-04
TOX-2025-0118-P,M202,2,Low Dose,Male,25,heart,Heart,N,1.13,340.2,0.3322,2025-03-04
TOX-2025-0118-P,M202,2,Low Dose,Male,25,brain,Brain,N,1.9,340.2,0.5585,2025-03-04
TOX-2025-0118-P,M202,2,Low Dose,Male,25,spleen,Spleen,N,0.75,340.2,0.2205,2025-03-04
TOX-2025-0118-P,M202,2,Low Dose,Male,25,thymus,Thymus,N,0.38,340.2,0.1117,2025-03-04
TOX-2025-0118-P,M203,2,Low Dose,Male,25,liver,Liver,N,11.41,336.4,3.3918,2025-03-04
TOX-2025-0118-P,M203,2,Low Dose,Male,25,kidney,Kidneys (paired),Y,2.17,336.4,0.6451,2025-03-04
TOX-2025-0118-P,M203,2,Low Dose,Male,25,heart,Heart,N,1.12,336.4,0.3329,2025-03-04
TOX-2025-0118-P,M203,2,Low Dose,Male,25,brain,Brain,N,1.88,336.4,0.5589,2025-03-04
TOX-2025-0118-P,M203,2,Low Dose,Male,25,spleen,Spleen,N,0.74,336.4,0.22,2025-03-04
TOX-2025-0118-P,M203,2,Low Dose,Male,25,thymus,Thymus,N,0.37,336.4,0.11,2025-03-04
TOX-2025-0118-P,M204,2,Low Dose,Male,25,liver,Liver,N,11.68,342.1,3.4142,2025-03-04
TOX-2025-0118-P,M204,2,Low Dose,Male,25,kidney,Kidneys (paired),Y,2.22,342.1,0.6489,2025-03-04
TOX-2025-0118-P,M204,2,Low Dose,Male,25,heart,Heart,N,1.14,342.1,0.3332,2025-03-04
TOX-2025-0118-P,M204,2,Low Dose,Male,25,brain,Brain,N,1.91,342.1,0.5583,2025-03-04
TOX-2025-0118-P,M204,2,Low Dose,Male,25,spleen,Spleen,N,0.76,342.1,0.2222,2025-03-04
TOX-2025-0118-P,M204,2,Low Dose,Male,25,thymus,Thymus,N,0.39,342.1,0.114,2025-03-04
TOX-2025-0118-P,M205,2,Low Dose,Male,25,liver,Liver,N,11.44,337.8,3.3866,2025-03-04
TOX-2025-0118-P,M205,2,Low Dose,Male,25,kidney,Kidneys (paired),Y,2.18,337.8,0.6454,2025-03-04
TOX-2025-0118-P,M205,2,Low Dose,Male,25,heart,Heart,N,1.12,337.8,0.3316,2025-03-04
TOX-2025-0118-P,M205,2,Low Dose,Male,25,brain,Brain,N,1.89,337.8,0.5595,2025-03-04
TOX-2025-0118-P,M205,2,Low Dose,Male,25,spleen,Spleen,N,0.74,337.8,0.2191,2025-03-04
TOX-2025-0118-P,M205,2,Low Dose,Male,25,thymus,Thymus,N,0.37,337.8,0.1095,2025-03-04
TOX-2025-0118-P,M301,3,Mid Dose,Male,100,liver,Liver,N,12.84,318.7,4.0289,2025-03-04
TOX-2025-0118-P,M301,3,Mid Dose,Male,100,kidney,Kidneys (paired),Y,2.31,318.7,0.7248,2025-03-04
TOX-2025-0118-P,M301,3,Mid Dose,Male,100,heart,Heart,N,1.13,318.7,0.3546,2025-03-04
TOX-2025-0118-P,M301,3,Mid Dose,Male,100,brain,Brain,N,1.87,318.7,0.5868,2025-03-04
TOX-2025-0118-P,M301,3,Mid Dose,Male,100,spleen,Spleen,N,0.77,318.7,0.2416,2025-03-04
TOX-2025-0118-P,M301,3,Mid Dose,Male,100,thymus,Thymus,N,0.34,318.7,0.1067,2025-03-04
TOX-2025-0118-P,M302,3,Mid Dose,Male,100,liver,Liver,N,12.64,315.4,4.0076,2025-03-04
TOX-2025-0118-P,M302,3,Mid Dose,Male,100,kidney,Kidneys (paired),Y,2.28,315.4,0.7229,2025-03-04
TOX-2025-0118-P,M302,3,Mid Dose,Male,100,heart,Heart,N,1.11,315.4,0.3519,2025-03-04
TOX-2025-0118-P,M302,3,Mid Dose,Male,100,brain,Brain,N,1.85,315.4,0.5866,2025-03-04
TOX-2025-0118-P,M302,3,Mid Dose,Male,100,spleen,Spleen,N,0.75,315.4,0.2378,2025-03-04
TOX-2025-0118-P,M302,3,Mid Dose,Male,100,thymus,Thymus,N,0.33,315.4,0.1046,2025-03-04
TOX-2025-0118-P,M303,3,Mid Dose,Male,100,liver,Liver,N,12.97,321.8,4.0305,2025-03-04
TOX-2025-0118-P,M303,3,Mid Dose,Male,100,kidney,Kidneys (paired),Y,2.34,321.8,0.7272,2025-03-04
TOX-2025-0118-P,M303,3,Mid Dose,Male,100,heart,Heart,N,1.14,321.8,0.3543,2025-03-04
TOX-2025-0118-P,M303,3,Mid Dose,Male,100,brain,Brain,N,1.88,321.8,0.5842,2025-03-04
TOX-2025-0118-P,M303,3,Mid Dose,Male,100,spleen,Spleen,N,0.78,321.8,0.2424,2025-03-04
TOX-2025-0118-P,M303,3,Mid Dose,Male,100,thymus,Thymus,N,0.35,321.8,0.1088,2025-03-04
TOX-2025-0118-P,M304,3,Mid Dose,Male,100,liver,Liver,N,12.74,317.2,4.0164,2025-03-04
TOX-2025-0118-P,M304,3,Mid Dose,Male,100,kidney,Kidneys (paired),Y,2.3,317.2,0.7251,2025-03-04
